Date,Open,High,Low,Close,Stock,putIV,dt
2020-12-07,26.1,40.64,25.2,39.88,BLFS,0.0,2020-12-23 16:36:00
2020-12-08,39.75,40.09,36.79,37.23,BLFS,0.0,
2020-12-09,38.09,39.86,37.5,38.09,BLFS,0.0,
2020-12-10,37.93,40.79,37.6,40.47,BLFS,0.0,
2020-12-11,40.21,41.39,39.48,40.58,BLFS,0.0,
2020-12-14,41.53,42.89,40.23,40.9,BLFS,0.0,
2020-12-15,41.46,42.5,40.26,41.95,BLFS,0.0,
2020-12-16,42.0,43.04,40.76,41.86,BLFS,0.0,
2020-12-17,42.23,44.21,41.75,43.14,BLFS,0.0,
2020-12-18,44.04,45.53,43.33,43.46,BLFS,0.0,
2020-12-21,42.6,45.31,41.76,44.98,BLFS,0.0,
2020-12-22,45.11,47.03,45.11,45.75,BLFS,0.0,
2020-12-23,46.09,47.22,44.52,44.65,BLFS,0.0,
2020-12-07,54.86,216.41,54.65,193.87,APPN,0.7609276837158205,
2020-12-08,159.3,165.12,152.12,154.04,APPN,0.7609276837158205,
2020-12-09,155.08,157.7,143.08,144.58,APPN,0.7609276837158205,
2020-12-10,139.68,156.43,139.2,152.09,APPN,0.7609276837158205,
2020-12-11,151.08,153.93,146.13,152.87,APPN,0.7609276837158205,
2020-12-14,153.87,154.16,138.37,144.18,APPN,0.7609276837158205,
2020-12-15,144.6,145.5,139.41,143.81,APPN,0.7609276837158205,
2020-12-16,143.61,148.25,138.01,147.33,APPN,0.7609276837158205,
2020-12-17,149.98,154.1,146.93,153.48,APPN,0.7609276837158205,
2020-12-18,152.77,158.97,151.04,155.9,APPN,0.7609276837158205,
2020-12-21,154.56,159.1,150.28,158.29,APPN,0.7609276837158205,
2020-12-22,159.68,172.46,157.95,159.38,APPN,0.7609276837158205,
2020-12-23,160.54,161.16,153.27,157.31,APPN,0.7609276837158205,
2020-12-07,28.0,51.1,27.15,48.55,FUTU,0.8349625878906248,
2020-12-08,45.9,46.97,43.41,43.62,FUTU,0.8349625878906248,
2020-12-09,44.95,45.11,42.11,43.34,FUTU,0.8349625878906248,
2020-12-10,42.99,46.45,42.9,45.0,FUTU,0.8349625878906248,
2020-12-11,45.17,45.22,42.51,42.6,FUTU,0.8349625878906248,
2020-12-14,43.13,44.1,40.94,41.0,FUTU,0.8349625878906248,
2020-12-15,41.65,42.5,40.62,41.58,FUTU,0.8349625878906248,
2020-12-16,41.7,42.16,40.42,41.55,FUTU,0.8349625878906248,
2020-12-17,42.01,43.6,41.8,42.3,FUTU,0.8349625878906248,
2020-12-18,42.68,45.15,42.68,43.32,FUTU,0.8349625878906248,
2020-12-21,42.25,44.35,42.05,42.47,FUTU,0.8349625878906248,
2020-12-22,43.01,43.22,40.22,40.51,FUTU,0.8349625878906248,
2020-12-23,40.99,41.68,39.36,39.52,FUTU,0.8349625878906248,
2020-12-07,34.65,64.22,33.51,57.16,GDRX,0.7780783911132813,
2020-12-08,38.02,38.4,37.28,37.79,GDRX,0.7780783911132813,
2020-12-09,38.64,39.65,37.56,37.89,GDRX,0.7780783911132813,
2020-12-10,37.94,39.49,37.54,38.92,GDRX,0.7780783911132813,
2020-12-11,38.95,43.27,38.45,42.65,GDRX,0.7780783911132813,
2020-12-14,42.71,45.49,42.6,45.01,GDRX,0.7780783911132813,
2020-12-15,44.11,44.5,42.21,43.03,GDRX,0.7780783911132813,
2020-12-16,43.57,43.86,40.33,42.45,GDRX,0.7780783911132813,
2020-12-17,43.13,45.9,42.59,45.63,GDRX,0.7780783911132813,
2020-12-18,45.58,46.55,44.38,44.61,GDRX,0.7780783911132813,
2020-12-21,44.37,47.32,43.73,46.69,GDRX,0.7780783911132813,
2020-12-22,47.04,49.49,47.04,48.32,GDRX,0.7780783911132813,
2020-12-23,49.0,49.09,47.05,47.59,GDRX,0.7780783911132813,
2020-12-07,1600.0,2138.97,1589.0,2128.78,BKNG,0.3435353122711181,
2020-12-08,2093.06,2128.21,2082.45,2086.65,BKNG,0.3435353122711181,
2020-12-09,2100.47,2170.03,2076.81,2107.11,BKNG,0.3435353122711181,
2020-12-10,2094.99,2151.58,2079.19,2104.87,BKNG,0.3435353122711181,
2020-12-11,2090.22,2104.02,2050.13,2089.21,BKNG,0.3435353122711181,
2020-12-14,2120.09,2143.06,2065.08,2066.01,BKNG,0.3435353122711181,
